Strain,Region,year,Dkl,Lowerbound,Upperbound
Bk79,C,1983,0.087,0.051,0.16
Bk79,D,1983,0.293,0.26,0.358
Bk79,E,1983,0.01,0.,0.027
Bk79,B*,1983,0.04,0.01,0.115
Bk79,non-epitope,1983,0.006,0.005,0.009
Bk79,OtherbutB*,1983,0.019,0.018,0.022
Bk79,OtherEpibutB*,1983,0.137,0.128,0.159
Bk79,A,1984,0.173,0.173,0.173
Bk79,B,1984,0.108,0.085,0.158
Bk79,C,1984,0.126,0.103,0.173
Bk79,D,1984,0.399,0.376,0.442
Bk79,E,1984,0.,0.,0.
Bk79,B*,1984,0.076,0.022,0.115
Bk79,non-epitope,1984,0.007,0.007,0.009
Bk79,OtherbutB*,1984,0.023,0.022,0.026
Bk79,OtherEpibutB*,1984,0.167,0.156,0.187
Bk79,A,1985,0.162,0.148,0.173
Bk79,B,1985,0.114,0.094,0.145
Bk79,C,1985,0.13,0.103,0.177
Bk79,D,1985,0.351,0.325,0.397
Bk79,E,1985,0.,0.,0.
Bk79,B*,1985,0.039,0.015,0.088
Bk79,non-epitope,1985,0.008,0.007,0.009
Bk79,OtherbutB*,1985,0.023,0.022,0.025
Bk79,OtherEpibutB*,1985,0.16,0.15,0.179
Bk79,A,1986,0.189,0.177,0.203
Bk79,B,1986,0.181,0.162,0.217
Bk79,C,1986,0.126,0.103,0.173
Bk79,D,1986,0.342,0.318,0.384
Bk79,E,1986,0.,0.,0.
Bk79,B*,1986,0.124,0.067,0.201
Bk79,non-epitope,1986,0.009,0.008,0.011
Bk79,OtherbutB*,1986,0.025,0.024,0.028
Bk79,OtherEpibutB*,1986,0.173,0.163,0.19
Bk79,A,1987,0.245,0.231,0.266
Bk79,B,1987,0.252,0.231,0.303
Bk79,C,1987,0.126,0.103,0.173
Bk79,D,1987,0.342,0.318,0.384
Bk79,E,1987,0.066,0.053,0.086
Bk79,B*,1987,0.133,0.116,0.231
Bk79,non-epitope,1987,0.007,0.006,0.009
Bk79,OtherbutB*,1987,0.028,0.027,0.031
Bk79,OtherEpibutB*,1987,0.221,0.209,0.24
Bk79,A,1988,0.242,0.235,0.252
Bk79,B,1988,0.252,0.233,0.286
Bk79,C,1988,0.13,0.103,0.183
Bk79,D,1988,0.342,0.318,0.384
Bk79,E,1988,0.034,0.019,0.049
Bk79,B*,1988,0.148,0.12,0.213
Bk79,non-epitope,1988,0.008,0.007,0.01
Bk79,OtherbutB*,1988,0.028,0.027,0.03
Bk79,OtherEpibutB*,1988,0.211,0.202,0.23
Bk79,A,1989,0.274,0.259,0.299
Bk79,B,1989,0.261,0.244,0.29
Bk79,C,1989,0.187,0.155,0.24
Bk79,D,1989,0.342,0.318,0.384
Bk79,E,1989,0.119,0.107,0.141
Bk79,B*,1989,0.151,0.124,0.199
Bk79,non-epitope,1989,0.007,0.006,0.009
Bk79,OtherbutB*,1989,0.031,0.03,0.034
Bk79,OtherEpibutB*,1989,0.249,0.239,0.266
Bk79,A,1990,0.3,0.289,0.313
Bk79,B,1990,0.285,0.262,0.32
Bk79,C,1990,0.219,0.194,0.268
Bk79,D,1990,0.347,0.322,0.39
Bk79,E,1990,0.17,0.162,0.182
Bk79,B*,1990,0.206,0.15,0.276
Bk79,non-epitope,1990,0.008,0.007,0.009
Bk79,OtherbutB*,1990,0.034,0.033,0.036
Bk79,OtherEpibutB*,1990,0.274,0.266,0.291
Bk79,A,1991,0.351,0.34,0.372
Bk79,B,1991,0.32,0.298,0.353
Bk79,C,1991,0.22,0.195,0.27
Bk79,D,1991,0.331,0.313,0.37
Bk79,E,1991,0.168,0.163,0.173
Bk79,B*,1991,0.31,0.255,0.374
Bk79,non-epitope,1991,0.008,0.008,0.01
Bk79,OtherbutB*,1991,0.035,0.034,0.037
Bk79,OtherEpibutB*,1991,0.28,0.272,0.296
Bk79,A,1992,0.323,0.305,0.345
Bk79,B,1992,0.33,0.312,0.361
Bk79,C,1992,0.227,0.206,0.276
Bk79,D,1992,0.313,0.291,0.353
Bk79,E,1992,0.175,0.168,0.182
Bk79,B*,1992,0.324,0.283,0.389
Bk79,non-epitope,1992,0.009,0.008,0.011
Bk79,OtherbutB*,1992,0.035,0.034,0.037
Bk79,OtherEpibutB*,1992,0.274,0.265,0.292
Bk79,A,1993,0.296,0.277,0.32
Bk79,B,1993,0.357,0.341,0.379
Bk79,C,1993,0.272,0.247,0.325
Bk79,D,1993,0.335,0.307,0.376
Bk79,E,1993,0.207,0.2,0.213
Bk79,B*,1993,0.333,0.32,0.364
Bk79,non-epitope,1993,0.01,0.009,0.011
Bk79,OtherbutB*,1993,0.038,0.037,0.04
Bk79,OtherEpibutB*,1993,0.294,0.284,0.314
Bk79,A,1994,0.317,0.298,0.342
Bk79,B,1994,0.371,0.351,0.393
Bk79,C,1994,0.289,0.261,0.347
Bk79,D,1994,0.353,0.33,0.393
Bk79,E,1994,0.209,0.201,0.215
Bk79,B*,1994,0.362,0.349,0.401
Bk79,non-epitope,1994,0.012,0.011,0.014
Bk79,OtherbutB*,1994,0.041,0.04,0.043
Bk79,OtherEpibutB*,1994,0.306,0.298,0.328
Bk79,A,1995,0.295,0.274,0.318
Bk79,B,1995,0.34,0.323,0.361
Bk79,C,1995,0.366,0.338,0.42
Bk79,D,1995,0.363,0.347,0.397
Bk79,E,1995,0.216,0.214,0.218
Bk79,B*,1995,0.361,0.348,0.4
Bk79,non-epitope,1995,0.011,0.01,0.012
Bk79,OtherbutB*,1995,0.04,0.039,0.042
Bk79,OtherEpibutB*,1995,0.307,0.301,0.322
Bk79,A,1996,0.308,0.295,0.332
Bk79,B,1996,0.346,0.328,0.367
Bk79,C,1996,0.398,0.368,0.451
Bk79,D,1996,0.37,0.357,0.404
Bk79,E,1996,0.225,0.222,0.23
Bk79,B*,1996,0.373,0.357,0.419
Bk79,non-epitope,1996,0.011,0.01,0.013
Bk79,OtherbutB*,1996,0.041,0.041,0.043
Bk79,OtherEpibutB*,1996,0.319,0.312,0.333
Bk79,A,1997,0.352,0.344,0.372
Bk79,B,1997,0.382,0.364,0.405
Bk79,C,1997,0.394,0.364,0.45
Bk79,D,1997,0.379,0.363,0.41
Bk79,E,1997,0.25,0.241,0.259
Bk79,B*,1997,0.456,0.435,0.49
Bk79,non-epitope,1997,0.012,0.011,0.014
Bk79,OtherbutB*,1997,0.044,0.044,0.046
Bk79,OtherEpibutB*,1997,0.337,0.331,0.352
Bk79,A,1998,0.388,0.379,0.402
Bk79,B,1998,0.432,0.42,0.454
Bk79,C,1998,0.395,0.37,0.445
Bk79,D,1998,0.379,0.366,0.411
Bk79,E,1998,0.265,0.257,0.272
Bk79,B*,1998,0.603,0.581,0.629
Bk79,non-epitope,1998,0.012,0.011,0.013
Bk79,OtherbutB*,1998,0.045,0.044,0.047
Bk79,OtherEpibutB*,1998,0.347,0.341,0.36
Bk79,A,1999,0.458,0.449,0.471
Bk79,B,1999,0.479,0.466,0.496
Bk79,C,1999,0.388,0.364,0.436
Bk79,D,1999,0.399,0.386,0.432
Bk79,E,1999,0.31,0.305,0.314
Bk79,B*,1999,0.684,0.677,0.693
Bk79,non-epitope,1999,0.013,0.012,0.014
Bk79,OtherbutB*,1999,0.049,0.048,0.051
Bk79,OtherEpibutB*,1999,0.381,0.376,0.394
Bk79,A,2000,0.46,0.451,0.475
Bk79,B,2000,0.503,0.488,0.519
Bk79,C,2000,0.403,0.372,0.453
Bk79,D,2000,0.431,0.415,0.462
Bk79,E,2000,0.341,0.338,0.344
Bk79,B*,2000,0.693,0.693,0.693
Bk79,non-epitope,2000,0.014,0.014,0.016
Bk79,OtherbutB*,2000,0.053,0.052,0.055
Bk79,OtherEpibutB*,2000,0.404,0.398,0.417
Bk79,A,2001,0.436,0.428,0.45
Bk79,B,2001,0.52,0.504,0.536
Bk79,C,2001,0.408,0.384,0.458
Bk79,D,2001,0.435,0.421,0.468
Bk79,E,2001,0.31,0.304,0.318
Bk79,B*,2001,0.693,0.693,0.693
Bk79,non-epitope,2001,0.015,0.014,0.016
Bk79,OtherbutB*,2001,0.053,0.052,0.054
Bk79,OtherEpibutB*,2001,0.398,0.391,0.412
Bk79,A,2002,0.392,0.383,0.407
Bk79,B,2002,0.547,0.532,0.563
Bk79,C,2002,0.396,0.371,0.444
Bk79,D,2002,0.431,0.415,0.462
Bk79,E,2002,0.303,0.3,0.307
Bk79,B*,2002,0.693,0.693,0.693
Bk79,non-epitope,2002,0.017,0.016,0.018
Bk79,OtherbutB*,2002,0.053,0.053,0.055
Bk79,OtherEpibutB*,2002,0.392,0.385,0.405
Bk79,A,2003,0.409,0.4,0.42
Bk79,B,2003,0.539,0.524,0.556
Bk79,C,2003,0.453,0.427,0.501
Bk79,D,2003,0.43,0.415,0.462
Bk79,E,2003,0.311,0.308,0.314
Bk79,B*,2003,0.672,0.665,0.678
Bk79,non-epitope,2003,0.02,0.019,0.022
Bk79,OtherbutB*,2003,0.058,0.057,0.06
Bk79,OtherEpibutB*,2003,0.406,0.398,0.42
Bk79,A,2004,0.358,0.349,0.371
Bk79,B,2004,0.542,0.529,0.559
Bk79,C,2004,0.47,0.446,0.519
Bk79,D,2004,0.429,0.414,0.461
Bk79,E,2004,0.319,0.317,0.321
Bk79,B*,2004,0.682,0.677,0.687
Bk79,non-epitope,2004,0.022,0.021,0.023
Bk79,OtherbutB*,2004,0.059,0.058,0.061
Bk79,OtherEpibutB*,2004,0.399,0.392,0.413
Bk79,A,2005,0.354,0.348,0.365
Bk79,B,2005,0.543,0.529,0.56
Bk79,C,2005,0.467,0.44,0.516
Bk79,D,2005,0.427,0.412,0.46
Bk79,E,2005,0.315,0.312,0.317
Bk79,B*,2005,0.682,0.676,0.687
Bk79,non-epitope,2005,0.022,0.022,0.024
Bk79,OtherbutB*,2005,0.059,0.059,0.061
Bk79,OtherEpibutB*,2005,0.396,0.39,0.41
Bk79,A,2006,0.319,0.31,0.332
Bk79,B,2006,0.53,0.517,0.549
Bk79,C,2006,0.476,0.451,0.523
Bk79,D,2006,0.427,0.409,0.459
Bk79,E,2006,0.32,0.318,0.323
Bk79,B*,2006,0.693,0.693,0.693
Bk79,non-epitope,2006,0.022,0.021,0.024
Bk79,OtherbutB*,2006,0.058,0.057,0.06
Bk79,OtherEpibutB*,2006,0.386,0.38,0.399
Bk79,A,2007,0.31,0.304,0.323
Bk79,B,2007,0.529,0.513,0.545
Bk79,C,2007,0.472,0.449,0.521
Bk79,D,2007,0.423,0.408,0.455
Bk79,E,2007,0.318,0.316,0.32
Bk79,B*,2007,0.688,0.684,0.691
Bk79,non-epitope,2007,0.022,0.021,0.024
Bk79,OtherbutB*,2007,0.057,0.057,0.059
Bk79,OtherEpibutB*,2007,0.382,0.374,0.396
Bk79,A,2008,0.313,0.304,0.325
Bk79,B,2008,0.458,0.442,0.476
Bk79,C,2008,0.411,0.39,0.457
Bk79,D,2008,0.344,0.33,0.375
Bk79,E,2008,0.276,0.27,0.282
Bk79,B*,2008,0.599,0.588,0.608
Bk79,non-epitope,2008,0.019,0.019,0.021
Bk79,OtherbutB*,2008,0.051,0.05,0.053
Bk79,OtherEpibutB*,2008,0.336,0.329,0.35
Bk79,A,2009,0.348,0.345,0.359
Bk79,B,2009,0.503,0.488,0.52
Bk79,C,2009,0.47,0.447,0.518
Bk79,D,2009,0.427,0.412,0.459
Bk79,E,2009,0.285,0.283,0.287
Bk79,B*,2009,0.686,0.683,0.688
Bk79,non-epitope,2009,0.023,0.022,0.024
Bk79,OtherbutB*,2009,0.058,0.057,0.06
Bk79,OtherEpibutB*,2009,0.376,0.369,0.39
Bk79,A,2010,0.339,0.336,0.35
Bk79,B,2010,0.495,0.481,0.511
Bk79,C,2010,0.493,0.467,0.542
Bk79,D,2010,0.426,0.411,0.458
Bk79,E,2010,0.305,0.303,0.308
Bk79,B*,2010,0.686,0.683,0.688
Bk79,non-epitope,2010,0.025,0.024,0.026
Bk79,OtherbutB*,2010,0.06,0.059,0.061
Bk79,OtherEpibutB*,2010,0.38,0.374,0.393
Bk79,A,2011,0.336,0.333,0.346
Bk79,B,2011,0.489,0.474,0.504
Bk79,C,2011,0.484,0.46,0.533
Bk79,D,2011,0.422,0.406,0.455
Bk79,E,2011,0.31,0.308,0.311
Bk79,B*,2011,0.681,0.677,0.684
Bk79,non-epitope,2011,0.026,0.025,0.028
Bk79,OtherbutB*,2011,0.06,0.06,0.062
Bk79,OtherEpibutB*,2011,0.377,0.371,0.391
Bk79,A,2012,0.333,0.33,0.345
Bk79,B,2012,0.482,0.467,0.498
Bk79,C,2012,0.464,0.44,0.511
Bk79,D,2012,0.423,0.407,0.454
Bk79,E,2012,0.311,0.309,0.312
Bk79,B*,2012,0.668,0.665,0.67
Bk79,non-epitope,2012,0.027,0.026,0.028
Bk79,OtherbutB*,2012,0.061,0.06,0.062
Bk79,OtherEpibutB*,2012,0.373,0.366,0.387
Bk79,A,2013,0.351,0.346,0.365
Bk79,B,2013,0.485,0.47,0.5
Bk79,C,2013,0.47,0.446,0.517
Bk79,D,2013,0.427,0.411,0.459
Bk79,E,2013,0.316,0.314,0.317
Bk79,B*,2013,0.684,0.68,0.685
Bk79,non-epitope,2013,0.031,0.03,0.032
Bk79,OtherbutB*,2013,0.065,0.064,0.067
Bk79,OtherEpibutB*,2013,0.379,0.372,0.393
Bk79,A,2014,0.362,0.357,0.375
Bk79,B,2014,0.451,0.444,0.464
Bk79,C,2014,0.469,0.446,0.516
Bk79,D,2014,0.428,0.413,0.46
Bk79,E,2014,0.304,0.303,0.305
Bk79,B*,2014,0.648,0.646,0.651
Bk79,non-epitope,2014,0.033,0.032,0.034
Bk79,OtherbutB*,2014,0.066,0.066,0.068
Bk79,OtherEpibutB*,2014,0.373,0.368,0.386
Bk79,A,2015,0.382,0.377,0.395
Bk79,B,2015,0.463,0.462,0.47
Bk79,C,2015,0.472,0.448,0.519
Bk79,D,2015,0.429,0.413,0.46
Bk79,E,2015,0.308,0.307,0.309
Bk79,B*,2015,0.666,0.664,0.668
Bk79,non-epitope,2015,0.034,0.034,0.036
Bk79,OtherbutB*,2015,0.068,0.068,0.07
Bk79,OtherEpibutB*,2015,0.381,0.376,0.393
Bk79,A,2016,0.381,0.375,0.393
Bk79,B,2016,0.468,0.467,0.473
Bk79,C,2016,0.471,0.448,0.518
Bk79,D,2016,0.429,0.414,0.46
Bk79,E,2016,0.317,0.317,0.318
Bk79,B*,2016,0.659,0.657,0.661
Bk79,non-epitope,2016,0.036,0.035,0.037
Bk79,OtherbutB*,2016,0.07,0.069,0.072
Bk79,OtherEpibutB*,2016,0.384,0.379,0.396
Bk79,A,2017,0.39,0.384,0.402
Bk79,B,2017,0.469,0.469,0.475
Bk79,C,2017,0.474,0.451,0.521
Bk79,D,2017,0.428,0.413,0.459
Bk79,E,2017,0.323,0.322,0.323
Bk79,B*,2017,0.681,0.68,0.682
Bk79,non-epitope,2017,0.037,0.036,0.038
Bk79,OtherbutB*,2017,0.071,0.07,0.073
Bk79,OtherEpibutB*,2017,0.386,0.38,0.397
Bk79,A,2018,0.395,0.389,0.408
Bk79,B,2018,0.468,0.468,0.473
Bk79,C,2018,0.472,0.449,0.519
Bk79,D,2018,0.429,0.414,0.46
Bk79,E,2018,0.326,0.325,0.327
Bk79,B*,2018,0.669,0.668,0.671
Bk79,non-epitope,2018,0.036,0.035,0.038
Bk79,OtherbutB*,2018,0.071,0.07,0.073
Bk79,OtherEpibutB*,2018,0.389,0.384,0.4
Bei89,A,1968,0.511,0.505,0.519
Bei89,B,1968,0.413,0.401,0.424
Bei89,C,1968,0.524,0.52,0.53
Bei89,D,1968,0.406,0.405,0.408
Bei89,E,1968,0.29,0.274,0.313
Bei89,B*,1968,0.399,0.376,0.426
Bei89,non-epitope,1968,0.017,0.016,0.017
Bei89,OtherbutB*,1968,0.057,0.056,0.057
Bei89,OtherEpibutB*,1968,0.421,0.416,0.428
Bei89,A,1969,0.522,0.52,0.529
Bei89,B,1969,0.413,0.401,0.424
Bei89,C,1969,0.524,0.52,0.53
Bei89,D,1969,0.41,0.404,0.426
Bei89,E,1969,0.278,0.252,0.314
Bei89,B*,1969,0.399,0.376,0.426
Bei89,non-epitope,1969,0.015,0.014,0.017
Bei89,OtherbutB*,1969,0.055,0.054,0.057
Bei89,OtherEpibutB*,1969,0.422,0.415,0.432
Bei89,A,1970,0.522,0.52,0.529
Bei89,B,1970,0.413,0.401,0.424
Bei89,C,1970,0.524,0.52,0.53
Bei89,D,1970,0.404,0.404,0.404
Bei89,E,1970,0.298,0.285,0.322
Bei89,B*,1970,0.399,0.376,0.426
Bei89,non-epitope,1970,0.015,0.015,0.016
Bei89,OtherbutB*,1970,0.056,0.055,0.057
Bei89,OtherEpibutB*,1970,0.425,0.421,0.432
Bei89,A,1971,0.522,0.52,0.529
Bei89,B,1971,0.358,0.338,0.384
Bei89,C,1971,0.499,0.479,0.526
Bei89,D,1971,0.378,0.36,0.404
Bei89,E,1971,0.252,0.239,0.277
Bei89,B*,1971,0.303,0.26,0.363
Bei89,non-epitope,1971,0.015,0.014,0.016
Bei89,OtherbutB*,1971,0.052,0.052,0.054
Bei89,OtherEpibutB*,1971,0.4,0.393,0.411
Bei89,A,1972,0.486,0.477,0.501
Bei89,B,1972,0.355,0.341,0.379
Bei89,C,1972,0.446,0.435,0.46
Bei89,D,1972,0.3,0.293,0.308
Bei89,E,1972,0.249,0.234,0.272
Bei89,B*,1972,0.365,0.332,0.413
Bei89,non-epitope,1972,0.013,0.012,0.014
Bei89,OtherbutB*,1972,0.047,0.046,0.048
Bei89,OtherEpibutB*,1972,0.359,0.353,0.368
Bei89,A,1973,0.448,0.434,0.469
Bei89,B,1973,0.34,0.32,0.368
Bei89,C,1973,0.437,0.433,0.443
Bei89,D,1973,0.289,0.289,0.289
Bei89,E,1973,0.219,0.201,0.254
Bei89,B*,1973,0.344,0.302,0.397
Bei89,non-epitope,1973,0.011,0.011,0.012
Bei89,OtherbutB*,1973,0.043,0.043,0.045
Bei89,OtherEpibutB*,1973,0.337,0.331,0.347
Bei89,A,1974,0.41,0.404,0.421
Bei89,B,1974,0.325,0.308,0.347
Bei89,C,1974,0.412,0.389,0.44
Bei89,D,1974,0.264,0.246,0.298
Bei89,E,1974,0.155,0.137,0.189
Bei89,B*,1974,0.303,0.269,0.343
Bei89,non-epitope,1974,0.01,0.009,0.011
Bei89,OtherbutB*,1974,0.039,0.039,0.041
Bei89,OtherEpibutB*,1974,0.305,0.297,0.317
Bei89,A,1975,0.405,0.385,0.433
Bei89,B,1975,0.361,0.332,0.391
Bei89,C,1975,0.346,0.31,0.386
Bei89,D,1975,0.256,0.234,0.303
Bei89,E,1975,0.171,0.15,0.206
Bei89,B*,1975,0.374,0.32,0.442
Bei89,non-epitope,1975,0.01,0.009,0.011
Bei89,OtherbutB*,1975,0.038,0.037,0.041
Bei89,OtherEpibutB*,1975,0.299,0.287,0.318
Bei89,A,1976,0.328,0.313,0.352
Bei89,B,1976,0.355,0.332,0.385
Bei89,C,1976,0.23,0.199,0.271
Bei89,D,1976,0.324,0.294,0.354
Bei89,E,1976,0.114,0.095,0.145
Bei89,B*,1976,0.323,0.28,0.376
Bei89,non-epitope,1976,0.008,0.008,0.009
Bei89,OtherbutB*,1976,0.034,0.033,0.036
Bei89,OtherEpibutB*,1976,0.271,0.265,0.287
Bei89,A,1977,0.29,0.267,0.32
Bei89,B,1977,0.324,0.304,0.357
Bei89,C,1977,0.172,0.141,0.209
Bei89,D,1977,0.3,0.272,0.34
Bei89,E,1977,0.082,0.06,0.113
Bei89,B*,1977,0.265,0.222,0.346
Bei89,non-epitope,1977,0.009,0.008,0.01
Bei89,OtherbutB*,1977,0.032,0.031,0.034
Bei89,OtherEpibutB*,1977,0.239,0.229,0.257
Bei89,A,1978,0.242,0.233,0.251
Bei89,B,1978,0.252,0.232,0.282
Bei89,C,1978,0.13,0.103,0.18
Bei89,D,1978,0.342,0.318,0.384
Bei89,E,1978,0.034,0.021,0.059
Bei89,B*,1978,0.148,0.12,0.199
Bei89,non-epitope,1978,0.008,0.007,0.01
Bei89,OtherbutB*,1978,0.028,0.026,0.03
Bei89,OtherEpibutB*,1978,0.211,0.205,0.227
Bei89,A,1979,0.126,0.115,0.162
Bei89,B,1979,0.181,0.171,0.211
Bei89,C,1979,0.09,0.087,0.097
Bei89,D,1979,0.142,0.115,0.173
Bei89,E,1979,0.034,0.021,0.059
Bei89,B*,1979,0.151,0.137,0.243
Bei89,non-epitope,1979,0.006,0.005,0.007
Bei89,OtherbutB*,1979,0.017,0.016,0.018
Bei89,OtherEpibutB*,1979,0.116,0.108,0.132
Bei89,A,1980,0.119,0.116,0.132
Bei89,B,1980,0.155,0.139,0.192
Bei89,C,1980,0.09,0.087,0.097
Bei89,D,1980,0.173,0.173,0.173
Bei89,E,1980,0.048,0.031,0.07
Bei89,B*,1980,0.138,0.121,0.172
Bei89,non-epitope,1980,0.006,0.006,0.007
Bei89,OtherbutB*,1980,0.017,0.017,0.019
Bei89,OtherEpibutB*,1980,0.118,0.112,0.13
Bei89,A,1981,0.126,0.118,0.136
Bei89,B,1981,0.18,0.163,0.195
Bei89,C,1981,0.09,0.087,0.097
Bei89,D,1981,0.173,0.173,0.173
Bei89,E,1981,0.087,0.074,0.113
Bei89,B*,1981,0.148,0.124,0.172
Bei89,non-epitope,1981,0.006,0.005,0.008
Bei89,OtherbutB*,1981,0.019,0.018,0.021
Bei89,OtherEpibutB*,1981,0.135,0.13,0.142
Bei89,A,1982,0.151,0.137,0.171
Bei89,B,1982,0.173,0.157,0.202
Bei89,C,1982,0.036,0.015,0.066
Bei89,D,1982,0.051,0.035,0.078
Bei89,E,1982,0.054,0.032,0.083
Bei89,B*,1982,0.149,0.131,0.184
Bei89,non-epitope,1982,0.006,0.005,0.007
Bei89,OtherbutB*,1982,0.015,0.014,0.017
Bei89,OtherEpibutB*,1982,0.096,0.088,0.109
Bei89,A,1983,0.079,0.064,0.096
Bei89,B,1983,0.156,0.139,0.191
Bei89,C,1983,0.028,0.003,0.06
Bei89,D,1983,0.04,0.023,0.065
Bei89,E,1983,0.043,0.026,0.074
Bei89,B*,1983,0.129,0.118,0.167
Bei89,non-epitope,1983,0.003,0.002,0.005
Bei89,OtherbutB*,1983,0.01,0.009,0.012
Bei89,OtherEpibutB*,1983,0.072,0.062,0.087
Bei89,A,1984,0.068,0.06,0.078
Bei89,B,1984,0.188,0.168,0.226
Bei89,C,1984,0.004,0.,0.01
Bei89,D,1984,0.066,0.058,0.076
Bei89,E,1984,0.034,0.021,0.059
Bei89,B*,1984,0.148,0.124,0.172
Bei89,non-epitope,1984,0.002,0.001,0.003
Bei89,OtherbutB*,1984,0.009,0.008,0.011
Bei89,OtherEpibutB*,1984,0.076,0.069,0.086
Bei89,A,1985,0.07,0.062,0.081
Bei89,B,1985,0.115,0.1,0.137
Bei89,C,1985,0.007,0.,0.017
Bei89,D,1985,0.012,0.002,0.03
Bei89,E,1985,0.034,0.021,0.059
Bei89,B*,1985,0.066,0.035,0.106
Bei89,non-epitope,1985,0.002,0.001,0.003
Bei89,OtherbutB*,1985,0.007,0.006,0.008
Bei89,OtherEpibutB*,1985,0.053,0.047,0.062
Bei89,A,1986,0.049,0.037,0.073
Bei89,B,1986,0.117,0.102,0.144
Bei89,C,1986,0.004,0.,0.01
Bei89,D,1986,0.008,0.,0.018
Bei89,E,1986,0.034,0.021,0.059
Bei89,B*,1986,0.057,0.028,0.098
Bei89,non-epitope,1986,0.003,0.002,0.004
Bei89,OtherbutB*,1986,0.008,0.007,0.009
Bei89,OtherEpibutB*,1986,0.049,0.045,0.062
Bei89,A,1987,0.032,0.016,0.061
Bei89,B,1987,0.022,0.016,0.055
Bei89,C,1987,0.004,0.,0.01
Bei89,D,1987,0.014,0.002,0.032
Bei89,E,1987,0.025,0.01,0.045
Bei89,B*,1987,0.023,0.007,0.067
Bei89,non-epitope,1987,0.002,0.001,0.002
Bei89,OtherbutB*,1987,0.003,0.003,0.005
Bei89,OtherEpibutB*,1987,0.021,0.016,0.033
Bei89,A,1988,0.,0.,0.013
Bei89,B,1988,0.,0.,0.016
Bei89,C,1988,0.,0.,0.01
Bei89,D,1988,0.,0.,0.008
Bei89,E,1988,0.,0.,0.014
Bei89,B*,1988,0.,0.,0.026
Bei89,non-epitope,1988,0.,0.,0.001
Bei89,OtherbutB*,1988,0.,0.,0.001
Bei89,OtherEpibutB*,1988,0.,0.,0.008
Bei89,A,1989,0.039,0.025,0.065
Bei89,B,1989,0.01,0.004,0.022
Bei89,C,1989,0.044,0.023,0.077
Bei89,D,1989,0.003,0.,0.012
Bei89,E,1989,0.057,0.042,0.086
Bei89,B*,1989,0.006,0.001,0.03
Bei89,non-epitope,1989,0.002,0.001,0.003
Bei89,OtherbutB*,1989,0.005,0.004,0.006
Bei89,OtherEpibutB*,1989,0.031,0.026,0.043
Bei89,A,1990,0.062,0.046,0.088
Bei89,B,1990,0.021,0.012,0.042
Bei89,C,1990,0.074,0.06,0.1
Bei89,D,1990,0.016,0.004,0.026
Bei89,E,1990,0.102,0.084,0.124
Bei89,B*,1990,0.041,0.018,0.092
Bei89,non-epitope,1990,0.002,0.002,0.003
Bei89,OtherbutB*,1990,0.007,0.007,0.009
Bei89,OtherEpibutB*,1990,0.053,0.045,0.063
Bei89,A,1991,0.11,0.094,0.142
Bei89,B,1991,0.065,0.056,0.082
Bei89,C,1991,0.076,0.058,0.096
Bei89,D,1991,0.03,0.021,0.042
Bei89,E,1991,0.099,0.079,0.118
Bei89,B*,1991,0.159,0.134,0.206
Bei89,non-epitope,1991,0.003,0.002,0.004
Bei89,OtherbutB*,1991,0.009,0.008,0.011
Bei89,OtherEpibutB*,1991,0.066,0.059,0.079
Bei89,A,1992,0.108,0.086,0.136
Bei89,B,1992,0.087,0.075,0.101
Bei89,C,1992,0.082,0.066,0.112
Bei89,D,1992,0.035,0.022,0.047
Bei89,E,1992,0.107,0.082,0.128
Bei89,B*,1992,0.187,0.163,0.22
Bei89,non-epitope,1992,0.003,0.003,0.004
Bei89,OtherbutB*,1992,0.01,0.009,0.011
Bei89,OtherEpibutB*,1992,0.073,0.064,0.082
Bei89,A,1993,0.134,0.116,0.157
Bei89,B,1993,0.171,0.156,0.188
Bei89,C,1993,0.128,0.111,0.154
Bei89,D,1993,0.019,0.01,0.029
Bei89,E,1993,0.138,0.117,0.159
Bei89,B*,1993,0.256,0.228,0.292
Bei89,non-epitope,1993,0.004,0.004,0.005
Bei89,OtherbutB*,1993,0.014,0.014,0.016
Bei89,OtherEpibutB*,1993,0.106,0.1,0.117
Bei89,A,1994,0.17,0.149,0.193
Bei89,B,1994,0.198,0.185,0.212
Bei89,C,1994,0.144,0.124,0.172
Bei89,D,1994,0.021,0.013,0.031
Bei89,E,1994,0.14,0.118,0.161
Bei89,B*,1994,0.293,0.265,0.324
Bei89,non-epitope,1994,0.006,0.006,0.007
Bei89,OtherbutB*,1994,0.017,0.017,0.019
Bei89,OtherEpibutB*,1994,0.121,0.113,0.132
Bei89,A,1995,0.229,0.213,0.245
Bei89,B,1995,0.222,0.207,0.241
Bei89,C,1995,0.222,0.203,0.25
Bei89,D,1995,0.138,0.123,0.152
Bei89,E,1995,0.147,0.128,0.168
Bei89,B*,1995,0.294,0.265,0.323
Bei89,non-epitope,1995,0.005,0.005,0.006
Bei89,OtherbutB*,1995,0.023,0.022,0.024
Bei89,OtherEpibutB*,1995,0.179,0.174,0.189
Bei89,A,1996,0.253,0.238,0.274
Bei89,B,1996,0.242,0.229,0.256
Bei89,C,1996,0.255,0.234,0.28
Bei89,D,1996,0.167,0.156,0.182
Bei89,E,1996,0.156,0.14,0.177
Bei89,B*,1996,0.301,0.272,0.333
Bei89,non-epitope,1996,0.006,0.005,0.007
