ID,InputCount,Rep1Count,Rep2Count,Rep1Fitness,Rep2Fitness,Fitness,Rep1_Preference,Rep2_Preference,Preference,strain,selected,v,f
EGYDFA,547.0,25.0,14.0,0.036003419834,0.0213828150397,0.0286931174368,0.0430617731309,0.025162899937,0.034039674886,Bris07P194,39.0,0.9251242161365759,-2.617395832834079
EGYDFV,470.0,1.0,1.0,0.0016760740978,0.00177756836272,0.00172682123026,0.00200466297043,0.00209180946285,0.00204858999353,Bris07P194,2.0,1.233755874202192,-5.056245805348308
EGYDNA,608.0,0.0,2.0,0.0,0.00274821424499,0.0013741071225,0.0,0.00323404752479,0.00163015259013,Bris07P194,2.0,1.2332747680764558,-5.313205979041787
EGYDNV,552.0,3.0,5.0,0.00428127622808,0.00756754647172,0.0059244113499,0.00512060650056,0.00890534825668,0.00702834178564,Bris07P194,8.0,1.0112188279934533,-4.118133424186115
EGYDSA,507.0,1.0,11.0,0.00155375705319,0.0181262888269,0.00984002294006,0.00185836606727,0.0213306803213,0.0116735723293,Bris07P194,12.0,0.9771909794784126,-3.6655320901169453
EGYDSV,484.0,5.0,1.0,0.00813796307818,0.00172615109603,0.0049320570871,0.00973338425728,0.00203130257756,0.00585107631242,Bris07P194,6.0,1.0432183971455737,-4.23823874188217
EGYEFA,624.0,3.0,5.0,0.00378728281715,0.00669436803268,0.00524082542491,0.00452976728896,0.00787780807322,0.00621737927191,Bris07P194,8.0,1.0110105097294388,-4.240527072400182
EGYEFV,583.0,4.0,1.0,0.0054048358557,0.00143303109859,0.00341893347714,0.00646443633691,0.00168636440401,0.00405600347453,Bris07P194,5.0,1.0666783940521176,-4.578141513600172
EGYENA,609.0,1.0,2.0,0.00129352188172,0.00274370157792,0.00201861172982,0.00154711263728,0.00322873710192,0.00239475153425,Bris07P194,3.0,1.149938742880623,-5.0271645960474665
EGYENV,597.0,0.0,5.0,0.0,0.00699712839596,0.00349856419798,0.0,0.00823409085039,0.00415047225626,Bris07P194,5.0,1.06663830608767,-4.601831284722577
EGYESA,560.0,5.0,0.0,0.00703352523185,0.0,0.00351676261593,0.00841242496521,0.0,0.00417206169253,Bris07P194,5.0,1.0667485964792902,-4.537961436294641
EGYESV,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bris07P194,0.0,1.9002993986183276,-6.214608098422191
EKFDFA,603.0,3.0,10.0,0.00391917823864,0.0138550104557,0.00888709434717,0.00468752037862,0.0163043191963,0.0105430789431,Bris07P194,13.0,0.9713835991859721,-3.7645168683195562
